Crash ID,Record Type,Serial #,Crash Month,Crash Day,Crash Year,Week Day Code,Crash Hour,County Code,City Section ID,Urban Area Code,Functional Class Code,NHS Flag,Highway Number,Highway Suffix,Roadway Number,Highway Component,Mileage Type,Connection Number,Linear Reference System (LRS),Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Degrees,Longitude Minutes,Longitude Seconds,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Special Jurisdiction,Jurisdiction Group,Street Number,Nearest Intersecting Street Number,Intersection Sequence Number,Distance from Intersection,Direction From Intersection,Milepoint,Posted Speed Limit,Road Character,Off Roadway Flag,Intersection Type,Intersection Related Flag,Roundabout Flag,Driveway Related Flag,Number of Lanes,Number of Turning Legs,Median Type,Impact Location,Crash Type,Collision Type,Crash Severity,Weather Condition,Road Surface Condition,Light Condition,Traffic Control Device (TCD),TCD Functional Flag,Investigating Agency,Crash Level Event 1 Code,Crash Level Event 2 Code,Crash Level Event 3 Code,Crash Level Cause 1 Code,Crash Level Cause 2 Code,Crash Level Cause 3 Code,School Zone Indicator,Work Zone Indicator,Secondary Crash Indicator,Alcohol-Involved Flag,Drugs Involved Flag,Crash Marijuana Involved Flag,Speed Involved Flag,Crash Level Hit & Run Flag,Population Range Code,Road Control,Route Type,Route Number,Region ID,District ID,Segment Marker ID,Segment Point LRS Measure,Unlocatable Flag,Total Vehicle Count,Total Fatality Count,Total Suspected Serious Injury (A) Count,Total Suspected Minor Injury (B) Count,Total Possible Injury (C) Count,Total Non-Fatal Injury Count,Total Un-Injured  Children Age 00-04,Total Un-Injured Persons,Total Pedestrian Count,Total Pedestrian Fatality Count,Total Pedestrian Non-Fatal Injury Count,Total Pedalcyclist Count,Total Pedalcyclist Fatality Count,Total Pedalcyclist Non-Fatal Injury Count,Total Unknown Non-Motorist Count,Total Unknown Non-Motorist Fatality Count,Total Unknown Non-Motorist Injury Count,Total Vehicle Occupant Count,Total Count of Persons Involved,Total Persons Using Safety Equipment  ,Total Persons Not Using Safety Equipment,Total Persons Safety Equipment Use Unknown,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 1 Code,Participant Cause 2 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code,BAC Test Results Code,Alcohol Use Reported,Drug Use Reported,Participant Marijuana Use Reported,Participant Striker Flag
1826513,1,193,8,24,2019,7,14,14,0,0,2,1,26,,1,0,0,,002600100S00,45,41,43.68,-121,30,17.86,0,,,,,,0,100.81,55,7,0,,0,0,0,3,,0,3,G,4,4,1,1,1,99,1,1,128,10,,33,27,,0,0,1,0,0,0,,5,OR,35,1,02C,293_16466,,0,3,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826673,1,5,1,1,2019,3,20,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,50.7,-122,35,1.07,0,,1940,5077,1,,9,4.8,35,1,0,4,0,0,0,0,0,,3,3,0,4,1,1,2,99,1,3,,,,2,,,,,0,0,0,0,9,2,US,26,1,02B,293_21511,,0,1,0,1,1,1,3,0,1,3,0,3,0,0,0,0,0,0,1,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826794,1,2283,7,5,2019,6,14,3,0,0,2,1,26,,1,0,0,,002600100S00,45,18,34.78,-121,50,17.9,0,,,,,,0,48.63,55,2,0,,0,0,0,3,,0,3,E,3,4,1,1,1,0,1,1,13,,,27,7,32,0,0,0,0,0,0,,5,US,26,1,02C,293_18879,,0,4,0,1,7,0,8,0,1,0,0,0,0,0,0,0,0,0,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826971,1,3644,10,17,2019,5,12,3,0,57,14,1,26,,1,0,0,,002600100S00,45,26,40.55,-122,21,38.87,0,,,,,,9,18.35,55,1,0,1,0,0,0,0,0,,3,B,1,4,2,1,1,4,1,1,,,,2,,,0,0,0,0,0,0,,8,US,26,1,02C,293_6833,,0,2,0,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,4,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827119,1,3158,9,12,2019,5,6,3,0,0,2,1,26,,1,0,0,,002600100S00,45,25,5.92,-122,19,7.52,0,,,,,,9,21.1,55,1,0,1,0,0,0,0,0,,1,H,6,4,1,1,1,0,1,1,,,,2,8,,0,0,0,0,0,0,,5,US,26,1,02C,293_8494,,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827863,1,216,1,9,2019,4,19,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,38,-122,29,32.28,0,,1702,1940,1,,9,9.48,35,1,0,3,0,0,0,0,0,,4,3,0,4,3,2,2,99,1,3,,,,19,18,,0,0,0,0,0,0,9,2,US,26,1,02B,293_14879,,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827872,1,1461,2,18,2019,2,4,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,55.85,-122,30,48.89,0,,1940,5145,1,,3,8.41,35,3,1,,0,0,0,2,,0,6,2,3,4,2,2,2,99,1,3,13,121,,33,,,0,0,1,0,0,0,9,2,US,26,1,02B,293_19394,,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827907,1,80575,1,4,2019,6,16,3,0,57,14,1,26,,1,0,0,,002600100S00,45,27,40.48,-122,22,59.08,0,,,,,,9,16.78,55,1,0,1,0,0,0,0,2,,3,B,1,4,1,1,1,1,1,2,,,,2,,,0,0,0,0,0,0,,8,US,26,1,02C,293_10836,,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828231,1,6490,7,19,2019,6,2,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,44.71,-122,33,29.79,0,,1940,5102,1,,9,6.2,35,1,0,3,0,0,0,0,0,,3,G,4,4,1,1,3,4,1,3,10,,,33,5,,0,0,1,0,0,0,9,2,US,26,1,02B,293_2424,,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828287,1,2168,6,29,2019,7,1,3,0,0,2,1,26,,1,0,0,,002600100S00,45,22,4.92,-122,9,53.71,0,,,,,,0,30,55,3,0,,0,0,0,4,,0,3,E,5,4,1,1,3,0,1,5,,,,13,,,,,0,0,0,0,,5,US,26,1,02C,293_13406,,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828314,1,5551,6,22,2019,7,2,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,49.79,-122,37,28.84,0,,1940,5037,1,,3,2.81,35,3,1,,0,0,0,4,,0,1,8,9,4,1,1,3,99,1,3,40,62,,33,,,0,0,1,0,0,0,9,2,US,26,1,02B,293_18667,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828373,1,3862,5,5,2019,1,19,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,49.03,-122,32,31.62,0,,1940,5118,1,,9,6.99,35,1,0,4,0,0,0,0,0,,3,H,6,4,1,1,5,99,1,3,1,,,2,6,30,0,0,0,0,1,0,9,2,US,26,1,02B,293_16213,,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828552,1,126,1,5,2019,7,8,26,245,57,14,1,26,,1,0,0,,002600100S00,45,30,4.16,-122,39,15.16,0,,1567,1940,1,,0,1.32,35,1,0,1,0,0,0,0,2,,9,E,3,4,1,1,1,7,1,0,,,,29,,,,,0,0,0,0,9,2,US,26,1,02B,293_12192,,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828709,1,159,1,7,2019,2,19,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,39.97,-122,29,41.94,0,,1940,5164,1,,4,9.35,35,1,0,3,0,0,0,0,0,,6,E,3,4,1,2,2,99,1,5,13,,,29,,,,,0,0,0,0,9,2,US,26,1,02B,293_17374,,0,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828977,1,179,1,8,2019,3,7,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,56.55,-122,38,36.83,0,,1940,5022,1,,4,1.86,35,1,0,1,0,0,0,0,0,,6,E,3,4,3,2,4,99,1,0,,,,29,,,,,0,0,0,0,9,2,US,26,1,02B,293_13690,,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828982,1,186,1,8,2019,3,18,26,245,57,14,1,26,,1,0,0,,002600100S00,45,29,50.77,-122,35,28.2,0,,1940,5070,1,,3,4.44,35,1,0,3,0,0,0,0,0,,6,I,2,4,1,1,2,22,1,0,,,,10,,,,,0,0,0,0,9,2,US,26,1,02B,293_19987,,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829693,1,45,2,18,2019,2,14,14,0,0,2,1,26,,1,0,0,,002600100S00,45,17,56.65,-121,40,33.63,0,,,,,,0,61.4,55,7,1,,0,0,0,2,,0,5,9,9,4,1,4,1,99,1,1,128,124,77,10,,,0,0,0,0,0,0,,5,OR,35,1,02C,293_747,,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829718,1,117,5,31,2019,6,15,14,0,0,2,1,26,,1,0,0,,002600100S00,45,41,24.18,-121,30,23.96,0,,,,,,0,100.41,55,3,0,,0,0,0,2,,0,3,D,6,4,1,1,1,99,1,1,,,,27,7,,0,0,0,0,0,0,,5,OR,35,1,02C,293_16466,,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829755,1,85,3,23,2019,7,20,14,0,0,2,1,26,,1,0,0,,002600100S00,45,41,1.65,-121,30,23.88,0,,,,,,0,99.96,55,7,1,,0,0,0,3,,0,6,8,9,4,1,1,3,99,1,1,128,93,79,27,5,,0,0,0,0,0,0,,5,OR,35,1,02C,293_16466,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829763,1,53,2,24,2019,1,14,14,0,0,2,1,26,,1,0,0,,002600100S00,45,18,4.36,-121,40,27.89,0,,,,,,0,61.59,55,0,0,,0,0,0,2,,0,3,E,3,4,1,4,1,99,1,0,,,,29,,,,,0,0,0,0,,5,OR,35,1,02C,293_328,,0,2,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829797,1,3,1,5,2019,7,11,14,0,0,2,1,26,,1,0,0,,002600100S00,45,39,12.04,-121,30,48.78,0,,,,,,9,97.79,45,1,0,3,0,0,0,0,0,,3,H,6,4,2,1,1,0,1,2,,,,8,2,,0,0,0,0,0,0,,5,OR,35,1,02C,293_12234,,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829853,1,10,1,13,2019,1,17,14,0,0,2,1,26,,1,0,0,,002600100S00,45,18,23.24,-121,39,46.4,0,,,,,,0,62.23,55,7,0,,0,0,0,2,,0,3,G,4,4,2,2,3,99,1,2,128,,,5,2,,0,0,0,0,0,0,,5,OR,35,1,02C,293_25266,,0,2,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,5,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829867,1,24,1,29,2019,3,14,14,0,0,2,1,26,,1,0,0,,002600100S00,45,37,30.13,-121,31,31.57,0,,,,,,9,95.25,55,1,0,3,0,0,0,0,2,,1,H,6,4,1,1,1,0,1,2,129,128,,8,2,,0,0,0,0,0,0,,5,OR,35,1,02C,293_733,,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829871,1,143,7,1,2019,2,13,14,0,0,2,1,26,,1,0,0,,002600100S00,45,41,41.75,-121,30,19.03,0,,,,,,0,100.77,55,7,1,,0,0,0,3,,0,1,8,9,4,2,1,1,99,1,1,128,58,62,17,,,0,0,0,0,0,0,,5,OR,35,1,02C,293_16466,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829928,1,164,7,20,2019,7,12,14,0,0,2,1,26,,1,0,0,,002600100S00,45,32,19.74,-121,34,4.59,0,,,,,,9,85.02,40,1,1,3,0,0,0,0,0,,4,B,6,4,1,1,1,4,1,1,,,,3,2,,0,0,0,0,0,0,,5,OR,35,1,02C,293_784,,0,2,0,0,2,4,6,0,1,0,0,0,0,0,0,0,0,0,7,7,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829983,1,120,6,1,2019,7,12,14,0,0,2,1,26,,1,0,0,,002600100S00,45,30,8.52,-121,33,43.41,0,,,,,,0,80.45,55,5,0,,0,0,0,2,,0,3,&,8,4,1,1,1,99,1,1,10,1,,10,,,0,0,0,0,0,0,,5,OR,35,1,02C,293_15075,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829988,1,127,6,14,2019,6,23,14,0,0,2,1,26,,1,0,0,,002600100S00,45,37,12.45,-121,31,56.08,0,,,,,,0,94.75,55,7,0,,0,0,0,3,,0,4,7,&,4,1,1,3,0,1,2,35,128,,12,,,0,0,0,0,0,0,,5,OR,35,1,02C,293_21089,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830030,1,139,6,27,2019,5,16,14,0,0,2,1,26,,1,0,0,,002600100S00,45,40,47.65,-121,30,30.59,0,,,,,,0,99.6,55,7,0,,0,0,0,3,,0,3,C,3,4,1,1,1,0,1,2,,,,27,29,,0,0,0,0,0,0,,5,OR,35,1,02C,293_10893,,0,2,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,5,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830038,1,59,3,2,2019,7,16,14,0,0,2,1,26,,1,0,0,,002600100S00,45,18,32.38,-121,39,4.11,0,,,,,,0,63.37,55,7,1,,0,0,0,2,,0,4,&,8,4,1,4,1,0,1,2,124,77,10,10,,,0,0,0,0,0,0,,5,OR,35,1,02C,293_25266,,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830046,1,63,3,3,2019,1,6,14,0,0,2,1,26,,1,0,0,,002600100S00,45,39,24.95,-121,30,48.74,0,,,,,,0,98.04,55,3,1,,0,0,0,2,,0,1,8,9,4,1,1,1,99,1,1,62,10,,10,,,0,0,1,0,0,0,,5,OR,35,1,02C,293_12234,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830165,1,61,3,2,2019,7,15,14,0,0,2,1,26,,1,0,0,,002600100S00,45,18,34.64,-121,38,59.27,0,,,,,,0,63.45,55,5,1,,0,0,0,2,,0,6,9,9,4,1,4,1,99,1,1,124,77,10,26,,,0,0,0,0,0,0,,5,OR,35,1,02C,293_25266,,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830217,1,104,5,6,2019,2,5,14,0,0,2,1,26,,1,0,0,,002600100S00,45,19,1.93,-121,38,27.29,0,,,,,,0,64.3,55,7,0,,0,0,0,2,,0,4,G,2,4,1,1,4,99,1,1,128,,,5,2,,0,0,0,0,0,0,,5,OR,35,1,02C,293_25271,,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
